NAMESPACE,NAME,VS,PF,READY,STATUS,RESTARTS,LAST RESTART,CPU,MEM,CPU/RL,MEM/RL,%CPU/R,%CPU/L,%MEM/R,%MEM/L,IP,NODE,SERVICE-ACCOUNT,NOMINATED NODE,READINESS GATES,QOS,LABELS,VALID,AGE
default,flowsdb-1,0,●,1/1,Running,0,<unknown>,99,128151,1000:2000,204800:204800,9,4,62,62,10.201.50.5,ip-10-201-57-10.eu-west-1.compute.internal,flowsdb,<none>,<none>,BU,"app.kubernetes.io/component=systemservices,cnpg.io/cluster=flowsdb,cnpg.io/instanceName=flowsdb-1,cnpg.io/instanceRole=primary,cnpg.io/podRole=instance,role=primary",,5h20m
default,kafka-cluster-cruise-control-795f8496b4-z6pxg,0,●,1/1,Running,0,<unknown>,5,550,0:0,0:0,n/a,n/a,n/a,n/a,10.201.57.100,ip-10-201-46-237.eu-west-1.compute.internal,kafka-cluster-cruise-control,<none>,<none>,BE,"app.kubernetes.io/instance=kafka-cluster,app.kubernetes.io/managed-by=strimzi-cluster-operator,app.kubernetes.io/name=cruise-control,app.kubernetes.io/part-of=strimzi-kafka-cluster,pod-template-hash=795f8496b4,strimzi.io/cluster=kafka-cluster,strimzi.io/component-type=cruise-control,strimzi.io/kind=Kafka,strimzi.io/name=kafka-cluster-cruise-control",,6h30m
default,ds-data-exporter-ve-29128920-8p67h,0,●,0/1,Completed,0,<unknown>,0,0,200:200,250:500,0,0,0,0,10.201.64.227,ip-10-201-71-29.eu-west-1.compute.internal,default,<none>,<none>,BU,"app=ds-data-exporter-ve,batch.kubernetes.io/controller-uid=1f485a75-04e9-47ca-85e3-11283772dc4e,batch.kubernetes.io/job-name=ds-data-exporter-ve-29128920,controller-uid=1f485a75-04e9-47ca-85e3-11283772dc4e,job-name=ds-data-exporter-ve-29128920",,178m
default,ds-data-exporter-ve-29128980-sfkpn,0,●,0/1,Completed,0,<unknown>,0,0,200:200,250:500,0,0,0,0,10.201.89.134,ip-10-201-71-29.eu-west-1.compute.internal,default,<none>,<none>,BU,"app=ds-data-exporter-ve,batch.kubernetes.io/controller-uid=8954a243-3c0b-42fd-9d8a-6539a4e4fe79,batch.kubernetes.io/job-name=ds-data-exporter-ve-29128980,controller-uid=8954a243-3c0b-42fd-9d8a-6539a4e4fe79,job-name=ds-data-exporter-ve-29128980",,118m
default,elisity-c3eventsmanager-service-548d955564-mmqps,0,●,2/2,Running,1,38m,900,772,1050:3500,1074:1524,85,25,71,50,10.201.89.133,ip-10-201-71-29.eu-west-1.compute.internal,default,<none>,<none>,BU,"admission.datadoghq.com/enabled=true,app=elisity-c3eventsmanager-service,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=c3eventsmanager,app.kubernetes.io/organization=elisity,elisity.io/singleton=true,pod-template-hash=548d955564",,132m
default,elisity-identity-graph-f69896874-sdvk2,0,●,2/2,Running,8,38m,617,1496,4050:6500,4196:4646,15,9,35,32,10.201.68.42,ip-10-201-66-180.eu-west-1.compute.internal,default,<none>,<none>,BU,"admission.datadoghq.com/enabled=true,app=elisity-identity-graph,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=identity-graph,app.kubernetes.io/organization=elisity,elisity.io/singleton=true,pod-template-hash=f69896874",,4h17m
default,elisity-logging-service-598bc6554f-9f7zj,0,●,1/1,Running,0,<unknown>,28,1385,800:800,2048:2048,3,3,67,67,10.201.50.9,ip-10-201-57-10.eu-west-1.compute.internal,default,<none>,<none>,GA,"app=elisity-logging-service,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=logging,app.kubernetes.io/organization=elisity,elisity.io/singleton=true,pod-template-hash=598bc6554f",,4h17m
default,elisity-policy-service-56f55f6f4d-npjgp,0,●,2/2,Running,0,<unknown>,354,1046,2050:2500,2098:2548,17,14,49,41,10.201.115.111,ip-10-201-119-111.eu-west-1.compute.internal,default,<none>,<none>,BU,"admission.datadoghq.com/enabled=true,app=elisity-policy-service,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=policy-service,app.kubernetes.io/organization=elisity,elisity.io/singleton=true,pod-template-hash=56f55f6f4d",,135m
default,elisity-policy-service-56f55f6f4d-sk69h,0,●,2/2,Running,0,<unknown>,352,1043,2050:2500,2098:2548,17,14,49,40,10.201.49.232,ip-10-201-53-63.eu-west-1.compute.internal,default,<none>,<none>,BU,"admission.datadoghq.com/enabled=true,app=elisity-policy-service,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=policy-service,app.kubernetes.io/organization=elisity,elisity.io/singleton=true,pod-template-hash=56f55f6f4d",,135m
default,kafka-cluster-entity-operator-6498497dbc-g49tw,0,●,1/1,Running,0,<unknown>,3,222,0:0,0:0,n/a,n/a,n/a,n/a,10.201.49.124,ip-10-201-46-237.eu-west-1.compute.internal,kafka-cluster-entity-operator,<none>,<none>,BE,"app.kubernetes.io/instance=kafka-cluster,app.kubernetes.io/managed-by=strimzi-cluster-operator,app.kubernetes.io/name=entity-operator,app.kubernetes.io/part-of=strimzi-kafka-cluster,pod-template-hash=6498497dbc,strimzi.io/cluster=kafka-cluster,strimzi.io/component-type=entity-operator,strimzi.io/kind=Kafka,strimzi.io/name=kafka-cluster-entity-operator",,6h30m
default,elisity-api-gateway-service-79f79bf655-mpk44,0,●,1/1,Running,0,<unknown>,2,214,500:500,500:500,0,0,42,42,10.201.120.48,ip-10-201-104-100.eu-west-1.compute.internal,default,<none>,<none>,GA,"app=elisity-api-gateway-service,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=elisity-api-gateway-service,app.kubernetes.io/organization=elisity,elisity.io/singleton=true,pod-template-hash=79f79bf655",,4h17m
default,elisity-flows-search-service-7b5b6c9d58-vm7xx,0,●,2/2,Running,11,168m,30,905,2050:2500,4146:4596,1,1,21,19,10.201.56.136,ip-10-201-42-207.eu-west-1.compute.internal,default,<none>,<none>,BU,"admission.datadoghq.com/enabled=true,app=elisity-flows-search-service,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=elisity-flows-search-service,app.kubernetes.io/organization=elisity,elisity.io/singleton=false,pod-template-hash=7b5b6c9d58",,3h16m
default,elisity-identity-graph-device-history-cronjob-29128860-p27j9,0,●,0/1,Completed,0,<unknown>,0,0,0:0,0:0,n/a,n/a,n/a,n/a,10.201.115.111,ip-10-201-119-111.eu-west-1.compute.internal,postgres-ha,<none>,<none>,BE,"batch.kubernetes.io/controller-uid=1952502e-5183-496c-b21b-a5bf6ff5703f,batch.kubernetes.io/job-name=elisity-identity-graph-device-history-cronjob-29128860,controller-uid=1952502e-5183-496c-b21b-a5bf6ff5703f,job-name=elisity-identity-graph-device-history-cronjob-29128860",,3h58m
default,elisity-identity-graph-f69896874-vdt9t,0,●,2/2,Running,8,38m,421,3068,4050:6500,4196:4646,10,6,73,66,10.201.50.7,ip-10-201-57-10.eu-west-1.compute.internal,default,<none>,<none>,BU,"admission.datadoghq.com/enabled=true,app=elisity-identity-graph,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=identity-graph,app.kubernetes.io/organization=elisity,elisity.io/singleton=true,pod-template-hash=f69896874",,4h17m
default,elisity-topology-service-7b567d5bd6-j9s78,0,●,2/2,Running,2,32m,426,1076,1050:3500,1586:2036,40,12,67,52,10.201.89.131,ip-10-201-71-29.eu-west-1.compute.internal,default,<none>,<none>,BU,"admission.datadoghq.com/enabled=true,app=elisity-topology-service,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=topology-service,app.kubernetes.io/organization=elisity,elisity.io/singleton=true,pod-template-hash=7b567d5bd6",,131m
default,kafka-cluster-kafka-1,0,●,1/1,Running,0,<unknown>,201,5597,0:0,0:0,n/a,n/a,n/a,n/a,10.201.68.37,ip-10-201-66-180.eu-west-1.compute.internal,kafka-cluster-kafka,<none>,<none>,BE,"app.kubernetes.io/instance=kafka-cluster,app.kubernetes.io/managed-by=strimzi-cluster-operator,app.kubernetes.io/name=kafka,app.kubernetes.io/part-of=strimzi-kafka-cluster,statefulset.kubernetes.io/pod-name=kafka-cluster-kafka-1,strimzi.io/broker-role=true,strimzi.io/cluster=kafka-cluster,strimzi.io/component-type=kafka,strimzi.io/controller=strimzipodset,strimzi.io/controller-name=kafka-cluster-kafka,strimzi.io/controller-role=false,strimzi.io/kind=Kafka,strimzi.io/name=kafka-cluster-kafka,strimzi.io/pod-name=kafka-cluster-kafka-1,strimzi.io/pool-name=kafka",,4h47m
default,kafka-cluster-kafka-controller-3,0,●,1/1,Running,0,<unknown>,15,1052,0:0,0:0,n/a,n/a,n/a,n/a,10.201.86.34,ip-10-201-66-180.eu-west-1.compute.internal,kafka-cluster-kafka,<none>,<none>,BE,"app.kubernetes.io/instance=kafka-cluster,app.kubernetes.io/managed-by=strimzi-cluster-operator,app.kubernetes.io/name=kafka,app.kubernetes.io/part-of=strimzi-kafka-cluster,statefulset.kubernetes.io/pod-name=kafka-cluster-kafka-controller-3,strimzi.io/broker-role=false,strimzi.io/cluster=kafka-cluster,strimzi.io/component-type=kafka,strimzi.io/controller=strimzipodset,strimzi.io/controller-name=kafka-cluster-kafka-controller,strimzi.io/controller-role=true,strimzi.io/kind=Kafka,strimzi.io/name=kafka-cluster-kafka,strimzi.io/pod-name=kafka-cluster-kafka-controller-3,strimzi.io/pool-name=kafka-controller",,4h47m
default,postgres-ha-4,0,●,1/1,Running,0,<unknown>,3844,10730,10000:0,32768:0,38,n/a,32,n/a,10.201.47.209,ip-10-201-57-10.eu-west-1.compute.internal,postgres-ha,<none>,<none>,BU,"app.kubernetes.io/component=systemservices,cnpg.io/cluster=postgres-ha,cnpg.io/instanceName=postgres-ha-4,cnpg.io/instanceRole=primary,cnpg.io/podRole=instance,role=primary",,12m
default,elisity-identity-graph-f69896874-2vtkg,0,●,2/2,Running,8,38m,707,1483,4050:6500,4196:4646,17,10,35,31,10.201.120.49,ip-10-201-104-100.eu-west-1.compute.internal,default,<none>,<none>,BU,"admission.datadoghq.com/enabled=true,app=elisity-identity-graph,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=identity-graph,app.kubernetes.io/organization=elisity,elisity.io/singleton=true,pod-template-hash=f69896874",,4h17m
default,elisity-policy-service-56f55f6f4d-8md2m,0,●,2/2,Running,0,<unknown>,408,1098,2050:2500,2098:2548,19,16,52,43,10.201.66.197,ip-10-201-94-93.eu-west-1.compute.internal,default,<none>,<none>,BU,"admission.datadoghq.com/enabled=true,app=elisity-policy-service,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=policy-service,app.kubernetes.io/organization=elisity,elisity.io/singleton=true,pod-template-hash=56f55f6f4d",,135m
default,elisity-ui2-service-5cc54c5866-vrj2c,0,●,1/1,Running,0,<unknown>,1,27,50:500,50:500,2,0,55,5,10.201.56.133,ip-10-201-42-207.eu-west-1.compute.internal,default,<none>,<none>,BU,"app=elisity-ui2-service,app.kubernetes.io/component=elisityservices,app.kubernetes.io/managed-by=manifests-framework,app.kubernetes.io/name=ui2,app.kubernetes.io/organization=elisity,elisity.io/singleton=true,pod-template-hash=5cc54c5866",,4h17m
default,kafka-cluster-kafka-controller-4,0,●,1/1,Running,0,<unknown>,10,945,0:0,0:0,n/a,n/a,n/a,n/a,10.201.57.109,ip-10-201-46-237.eu-west-1.compute.internal,kafka-cluster-kafka,<none>,<none>,BE,"app.kubernetes.io/instance=kafka-cluster,app.kubernetes.io/managed-by=strimzi-cluster-operator,app.kubernetes.io/name=kafka,app.kubernetes.io/part-of=strimzi-kafka-cluster,statefulset.kubernetes.io/pod-name=kafka-cluster-kafka-controller-4,strimzi.io/broker-role=false,strimzi.io/cluster=kafka-cluster,strimzi.io/component-type=kafka,strimzi.io/controller=strimzipodset,strimzi.io/controller-name=kafka-cluster-kafka-controller,strimzi.io/controller-role=true,strimzi.io/kind=Kafka,strimzi.io/name=kafka-cluster-kafka,strimzi.io/pod-name=kafka-cluster-kafka-controller-4,strimzi.io/pool-name=kafka-controller",,6h28m
default,kafka-cluster-kafka-controller-5,0,●,1/1,Running,0,<unknown>,57,1104,0:0,0:0,n/a,n/a,n/a,n/a,10.201.116.147,ip-10-201-119-111.eu-west-1.compute.internal,kafka-cluster-kafka,<none>,<none>,BE,"app.kubernetes.io/instance=kafka-cluster,app.kubernetes.io/managed-by=strimzi-cluster-operator,app.kubernetes.io/name=kafka,app.kubernetes.io/part-of=strimzi-kafka-cluster,statefulset.kubernetes.io/pod-name=kafka-cluster-kafka-controller-5,strimzi.io/broker-role=false,strimzi.io/cluster=kafka-cluster,strimzi.io/component-type=kafka,strimzi.io/controller=strimzipodset,strimzi.io/controller-name=kafka-cluster-kafka-controller,strimzi.io/controller-role=true,strimzi.io/kind=Kafka,strimzi.io/name=kafka-cluster-kafka,strimzi.io/pod-name=kafka-cluster-kafka-controller-5,strimzi.io/pool-name=kafka-controller",,6h19m
default,kafka-ui-7d775fd65-7v4zf,0,●,1/1,Running,0,<unknown>,8,379,0:0,0:0,n/a,n/a,n/a,n/a,10.201.122.108,ip-10-201-104-100.eu-west-1.compute.internal,default,<none>,<none>,BE,"app=kafka-ui,pod-template-hash=7d775fd65",,5h33m
default,psql-db-creator-qzqtg,0,●,0/1,Completed,0,<unknown>,0,0,0:0,0:0,n/a,n/a,n/a,n/a,10.201.89.131,ip-10-201-71-29.eu-west-1.compute.internal,default,<none>,<none>,BE,"app=psql-db-creator,app.kubernetes.io/component=systemservices,app.kubernetes.io/managed-by=Kustomize,app.kubernetes.io/name=psql,app.kubernetes.io/organization=elisity,batch.kubernetes.io/controller-uid=2ad8327b-5176-4f35-859e-c792dab90213,batch.kubernetes.io/job-name=psql-db-creator,controller-uid=2ad8327b-5176-4f35-859e-c792dab90213,job-name=psql-db-creator",,5h20m
